restaurant_id,restaurant_name,City,primary_cuisine,price_level,rating,num_reviews,ranking,popularity_score,avg_city_pressure,peak_city_pressure
d10683591,Churrasqueira Campo Grande by Chimarrao,Lisbon,European,1.0,3.0,44.0,3530.0,0.3205009882691733,71.93915752520559,97.65516301344215
d7723066,Coracao da Se,Lisbon,Mediterranean,1.0,3.0,84.0,3531.0,0.3489862826560204,71.93915752520559,97.65516301344215
d11876617,Portugalia Balcao Chiado,Lisbon,Unknown,1.0,2.5,7.0,3532.0,0.2056403933200491,71.93915752520559,97.65516301344215
d2103726,Restaurante Churrascaria Damas,Lisbon,Portuguese,1.0,3.0,24.0,3533.0,0.294174522894767,71.93915752520559,97.65516301344215
d12631014,Taberna 90,Lisbon,European,1.0,2.5,23.0,3534.0,0.2548461214191043,71.93915752520559,97.65516301344215
d12002313,Sr. Frango da Guia,Lisbon,Barbecue,1.0,2.5,11.0,3535.0,0.22380070915850891,71.93915752520559,97.65516301344215
d7994633,San Siro,Lisbon,Seafood,1.0,2.5,301.0,3536.0,0.36826860610187984,71.93915752520559,97.65516301344215
d1902950,Gallassa Cafe,Lisbon,European,1.0,3.0,128.0,3537.0,0.36767038068130664,71.93915752520559,97.65516301344215
d4409922,Farm,Lisbon,Unknown,1.0,3.0,24.0,3538.0,0.29417440286011187,71.93915752520559,97.65516301344215
d10594543,Spoon Cafe,Lisbon,Unknown,1.0,2.5,4.0,3539.0,0.18458921972253234,71.93915752520559,97.65516301344215
d1484701,Restaurante Adega do Ribatejo,Lisbon,European,1.0,2.5,269.0,3540.0,0.36325191255254713,71.93915752520559,97.65516301344215
d13352561,Koi Sushi Saldanha,Lisbon,Japanese,1.0,4.5,6.0,3541.0,0.349659436142337,71.93915752520559,97.65516301344215
d2433879,A Tasquinha,Lisbon,Portuguese,1.0,3.0,55.0,3542.0,0.3302955769369624,71.93915752520559,97.65516301344215
d7255677,Boizao,Lisbon,Unknown,1.0,3.0,15.0,3543.0,0.2741855177819095,71.93915752520559,97.65516301344215
d9800261,Laboratorio do Gelado sub 196,Lisbon,Unknown,1.0,3.0,9.0,3544.0,0.2531344883343473,71.93915752520559,97.65516301344215
d2174326,Cafeteria Sao Nicolau,Lisbon,Portuguese,1.0,3.0,631.0,3545.0,0.43884340246557724,71.93915752520559,97.65516301344215
d6897434,Rock in Chiado Cafe,Lisbon,European,1.0,3.0,32.0,3546.0,0.30660906703756735,71.93915752520559,97.65516301344215
d10391420,Honeylicious Cake,Lisbon,Unknown,1.0,5.0,2.0,3547.0,0.3492096454887025,71.93915752520559,97.65516301344215
d8408392,Bitoque and Company,Lisbon,Unknown,1.0,2.5,17.0,3548.0,0.24196078606488414,71.93915752520559,97.65516301344215
d3405255,Taberna da Barroca,Lisbon,European,1.0,3.5,8.0,3549.0,0.2859153739934525,71.93915752520559,97.65516301344215
d7792335,Tutaska Mitaska,Lisbon,European,1.0,4.0,11.0,3550.0,0.33630035047484413,71.93915752520559,97.65516301344215
d6102613,Irish & Co,Lisbon,Bar,1.0,3.0,121.0,3551.0,0.365171205444017,71.93915752520559,97.65516301344215
d4591262,Pateo,Lisbon,European,1.0,3.5,8.0,3552.0,0.28591530257993764,71.93915752520559,97.65516301344215
d5959221,Restaurante O Melhor,Lisbon,Unknown,1.0,3.5,4.0,3553.0,0.2595888856118387,71.93915752520559,97.65516301344215
d7026097,Confeitaria Nova,Lisbon,Unknown,1.0,3.5,4.0,3554.0,0.2595888618475139,71.93915752520559,97.65516301344215
d5959916,Restaurante O Petisqueiro,Lisbon,Unknown,1.0,4.5,3.0,3555.0,0.324594455405388,71.93915752520559,97.65516301344215
d10520643,Prego Gourmet Lda,Lisbon,Unknown,1.0,2.5,19.0,3556.0,0.2466795908391407,71.93915752520559,97.65516301344215
d11660761,Restaurante Clube Tap,Lisbon,Unknown,1.0,3.0,24.0,3557.0,0.2941739498060612,71.93915752520559,97.65516301344215
d7905919,O Reitor,Lisbon,Brazilian,1.0,3.0,2.0,3558.0,0.19920938393331897,71.93915752520559,97.65516301344215
